onset	duration	trial_type
4.0	16	Faces-Cartoon
20.0	16	Faces
36.0	16	Tripartite-BigObjects
52.0	16	Tripartite-Animals
68.0	16	Faces-Blank
100.0	16	Curvature-Obj-Rectilinear
116.0	16	Tripartite-SmallObjects
132.0	16	Scenes-Open-Natural
148.0	16	Pareidolia-Obj
163.0	16	Scenes-Size03
195.0	16	Faces-EyesOnly
211.0	16	Texforms-SmallObjects
227.0	16	Scenes-Open-Manmade
243.0	16	Scenes-Closed-Natural
259.0	16	Faces-Rearranged
291.0	16	Faces-Small
307.0	16	Objects-SingleFurniture
323.0	16	Scenes-Closed-Manmade
339.0	16	Texforms-BigObjects
355.0	16	Texforms-Animals
